time,model=SM-G950F_device=dreamlte,lon,lat,alt,#countofwifis,ssid1,mac1,channel1,signal1,ssid2,mac2,channel2,signal2,ssid3,mac3,channel3,signal3,ssid4,mac4,channel4,signal4,ssid5,mac5,channel5,signal5,ssid6,mac6,channel6,signal6,ssid7,mac7,channel7,signal7,ssid8,mac8,channel8,signal8,ssid9,mac9,channel9,signal9,ssid10,mac10,channel10,signal10
03/12/2017 08:37,model=SM-G950F_device=dreamlte,32.1025333,35.20726399,699.2877605,7,afikim-wifi,00:1a:dd:e3:06:e4,1,-78,Moria,d8:fe:e3:03:5a:31,6,-83,AUC_51_3,00:27:19:e3:2d:fe,1,-86,AUC_54_R,00:25:86:cc:00:f8,5,-86,surikat,14:ae:db:32:52:12,6,-89,Ariel_University,1c:b9:c4:16:f1:98,11,-90,afikim-wifi,34:0b:01:19:21:42,7,-91
03/12/2017 08:37,model=SM-G950F_device=dreamlte,32.10252819,35.2073457,700.1622739,10,afikim-wifi,00:1a:dd:e3:06:e4,1,-53,Moria,d8:fe:e3:03:5a:31,6,-78,Lidor a,a0:4f:d4:3b:e9:01,6,-84,tanya,14:ae:db:3a:64:05,1,-86,Hagar,10:be:f5:3b:68:2c,11,-87,Ariel_University,1c:b9:c4:16:f4:7c,36,-87,Ariel_University,ec:8c:a2:08:a9:38,6,-88,Yan,00:21:04:4c:2a:a2,6,-89,Cellcom-WiFi_0123,a0:4f:d4:3a:a0:e1,11,-89,Ariel_University,ec:8c:a2:08:94:1c,44,-89
03/12/2017 08:37,model=SM-G950F_device=dreamlte,32.10251814,35.20734901,698.9056862,10,Ariel_University,ec:8c:a2:08:94:18,1,-76,Sveta,d0:0f:6d:f1:35:2f,4,-85,ear,a0:ab:1b:59:55:54,1,-85,Knoch,b0:48:7a:a1:80:8c,4,-86,LARISA,10:be:f5:39:8f:f2,3,-86,netbox-550b,00:12:2a:39:2c:3c,1,-86,Home,10:be:f5:a7:b4:f4,7,-87, ,1c:b9:c4:96:f1:97,60,-88,Ariel_University,ec:8c:a2:08:78:cc,48,-89,Ariel_University,1c:b9:c4:16:d2:88,11,-92
03/12/2017 08:37,model=SM-G950F_device=dreamlte,32.10251582,35.20733918,697.9931738,4,BEZEQINT-8831,14:ae:db:43:88:35,6,-85,Ariel_University,ec:8c:a2:09:03:38,1,-85,Ariel_University,1c:b9:c4:14:33:c8,11,-90, ,1c:b9:c4:96:28:f7,36,-91
03/12/2017 08:37,model=SM-G950F_device=dreamlte,32.10252096,35.20731866,696.826181,3,Ariel_University,ec:8c:a2:08:94:1c,44,-84, ,1c:b9:c4:96:f4:77,36,-85, ,ec:8c:a2:88:94:17,44,-86
03/12/2017 08:37,model=SM-G950F_device=dreamlte,32.10251744,35.20733873,695.5775666,2,victoria,00:8c:54:90:ce:d1,11,-89,Ariel_University,ec:8c:a2:08:78:c8,6,-89
03/12/2017 08:37,model=SM-G950F_device=dreamlte,32.10245839,35.20743113,694.8881938,4,BezeqFree,06:ae:db:3a:64:05,1,-84,Ariel_University,1c:b9:c4:14:33:cc,48,-89,Mama,14:ae:db:cb:05:f5,11,-90,SGH-I337M,ec:9b:f3:26:ab:3a,6,-92
03/12/2017 08:37,model=SM-G950F_device=dreamlte,32.10246378,35.2075634,694.1299433,1,Hoom_2.4,80:37:73:d7:ab:3a,1,-88
03/12/2017 08:37,model=SM-G950F_device=dreamlte,32.1026346,35.20757686,692.0341048,3,Ariel_University,ec:8c:a2:09:03:38,1,-77,bezek freeee,cc:fa:00:ae:93:46,6,-86,vladimir,00:0e:f4:c1:50:14,11,-92
